#_1.r   2.|psi|   3.d|psi|/dr 

  5.5500    5.6956e-03   -6.1694e-03
  5.5600    5.6342e-03   -6.1017e-03
  5.5700    5.5735e-03   -6.0348e-03
  5.5800    5.5135e-03   -5.9686e-03
  5.5900    5.4542e-03   -5.9031e-03
  5.6000    5.3955e-03   -5.8384e-03
  5.6100    5.3374e-03   -5.7743e-03
  5.6200    5.2800e-03   -5.7110e-03
  5.6300    5.2232e-03   -5.6484e-03
  5.6400    5.1670e-03   -5.5865e-03
  5.6500    5.1114e-03   -5.5253e-03
  5.6600    5.0565e-03   -5.4647e-03
  5.6700    5.0021e-03   -5.4048e-03
  5.6800    4.9484e-03   -5.3456e-03
  5.6900    4.8952e-03   -5.2870e-03
  5.7000    4.8427e-03   -5.2291e-03
  5.7100    4.7907e-03   -5.1718e-03
  5.7200    4.7392e-03   -5.1152e-03
  5.7300    4.6883e-03   -5.0592e-03
  5.7400    4.6380e-03   -5.0038e-03
  5.7500    4.5883e-03   -4.9490e-03
  5.7600    4.5391e-03   -4.8948e-03
  5.7700    4.4904e-03   -4.8412e-03
  5.7800    4.4422e-03   -4.7882e-03
  5.7900    4.3946e-03   -4.7358e-03
  5.8000    4.3475e-03   -4.6840e-03
  5.8100    4.3009e-03   -4.6327e-03
  5.8200    4.2549e-03   -4.5820e-03
  5.8300    4.2093e-03   -4.5318e-03
  5.8400    4.1642e-03   -4.4823e-03
  5.8500    4.1196e-03   -4.4332e-03
  5.8600    4.0755e-03   -4.3847e-03
  5.8700    4.0319e-03   -4.3367e-03
  5.8800    3.9888e-03   -4.2893e-03
  5.8900    3.9462e-03   -4.2424e-03
  5.9000    3.9040e-03   -4.1960e-03
  5.9100    3.8622e-03   -4.1501e-03
  5.9200    3.8210e-03   -4.1047e-03
  5.9300    3.7801e-03   -4.0598e-03
  5.9400    3.7398e-03   -4.0154e-03
  5.9500    3.6998e-03   -3.9715e-03
  5.9600    3.6603e-03   -3.9280e-03
  5.9700    3.6213e-03   -3.8851e-03
  5.9800    3.5826e-03   -3.8426e-03
  5.9900    3.5444e-03   -3.8006e-03
  6.0000    3.5066e-03   -3.7590e-03
  6.0100    3.4692e-03   -3.7179e-03
  6.0200    3.4323e-03   -3.6773e-03
